,source,target,,,source,target,,,source,target,,,source,target,,,source,target,,,source,target,,,source,target,,,source,target
Project,Juliet,antiword,,Project,antiword,spell,,Project,spell,Juliet,,Project,sphinxbase,Juliet,,Project,uucp,antiword,,Project,lucene-solr,antiword,,Project,phoenix,Juliet,,Project,poi,Juliet
PVC_id,42,14,,PVC_id,39,42,,PVC_id,9,13,,PVC_id,5,5,,PVC_id,44,27,,PVC_id,26,47,,PVC_id,32,27,,PVC_id,5,37
,39,27,,,13,6,,,40,28,,,17,43,,,4,4,,,22,27,,,19,18,,,22,28
,7,17,,,28,41,,,7,29,,,,,,,6,39,,,38,39,,,18,14,,,4,39
,37,4,,,,,,,26,37,,,source,target,,,8,38,,,13,38,,,33,42,,,8,4
,,,,,source,target,,,12,27,,Project,sphinxbase,antiword,,,33,8,,,,,,,23,43,,,23,12
,source,target,,Project,antiword,sphinxbase,,,44,12,,PVC_id,17,37,,,,,,,source,target,,,,,,,32,7
Project,Juliet,spell,,PVC_id,28,30,,,22,43,,,22,6,,,source,target,,Project,lucene-solr,spell,,,source,target,,,,
PVC_id,39,40,,,43,13,,,,,,,6,7,,Project,uucp,spell,,PVC_id,22,27,,Project,phoenix,antiword,,,source,target
,37,32,,,13,33,,,source,target,,,5,37,,PVC_id,44,25,,,26,12,,PVC_id,32,26,,Project,poi,antiword
,42,27,,,39,7,,Project,spell,antiword,,,2,2,,,6,7,,,38,6,,,18,9,,PVC_id,32,5
,7,26,,,2,2,,PVC_id,12,24,,,,,,,33,38,,,,,,,19,21,,,23,33
,,,,,,,,,9,26,,,source,target,,,4,19,,,source,target,,,33,12,,,8,22
,source,target,,,source,target,,,44,9,,Project,sphinxbase,spell,,,8,8,,Project,lucene-solr,sphinxbase,,,23,37,,,5,4
Project,Juliet,sphinxbase,,Project,antiword,uucp,,,7,18,,PVC_id,6,6,,,,,,PVC_id,26,21,,,27,6,,,22,27
PVC_id,42,42,,PVC_id,39,6,,,26,17,,,17,39,,,source,target,,,38,7,,,,,,,4,7
,37,15,,,13,32,,,40,27,,,5,5,,Project,uucp,sphinxbase,,,22,23,,,source,target,,,,
,39,18,,,43,33,,,22,37,,,22,41,,PVC_id,44,7,,,13,28,,Project,phoenix,spell,,,source,target
,7,19,,,28,39,,,,,,,,,,,4,26,,,,,,PVC_id,32,43,,Project,poi,spell
,,,,,1,1,,,source,target,,,source,target,,,33,41,,,source,target,,,19,18,,PVC_id,22,40
,source,target,,,,,,Project,spell,sphinxbase,,Project,sphinxbase,uucp,,,6,6,,Project,lucene-solr,uucp,,,18,28,,,5,26
Project,Juliet,phoenix,,,source,target,,PVC_id,12,21,,PVC_id,17,7,,,,,,PVC_id,26,46,,,33,24,,,4,32
PVC_id,37,10,,Project,antiword,lucene-solr,,,9,20,,,6,27,,,source,target,,,38,31,,,27,41,,,8,6
,39,47,,PVC_id,39,18,,,44,23,,,5,5,,Project,uucp,lucene-solr,,,22,20,,,23,22,,,23,27
,42,22,,,13,8,,,7,25,,,22,29,,PVC_id,4,4,,,,,,,,,,,32,39
,7,4,,,43,9,,,40,15,,,,,,,44,37,,,source,target,,,source,target,,,,
,,,,,28,12,,,26,19,,,source,target,,,6,38,,Project,lucene-solr,phoenix,,Project,phoenix,sphinxbase,,,source,target
,source,target,,,,,,,22,22,,Project,sphinxbase,lucene-solr,,,33,29,,PVC_id,22,13,,PVC_id,32,20,,Project,poi,uucp
Project,Juliet,poi,,,source,target,,,,,,PVC_id,6,38,,,8,43,,,26,45,,,19,26,,PVC_id,5,4
PVC_id,39,22,,Project,antiword,phoenix,,,source,target,,,,,,,,,,,38,33,,,18,36,,,23,36
,37,5,,PVC_id,39,33,,Project,spell,uucp,,,,,,,source,target,,,13,38,,,33,37,,,22,20
,42,42,,,43,8,,PVC_id,7,44,,,,,,Project,uucp,phoenix,,,,,,,23,22,,,8,47
,7,8,,,13,6,,,9,46,,,,,,PVC_id,44,13,,,,,,,38,28,,,4,21
,,,,,28,28,,,26,4,,,,,,,4,37,,,,,,,27,17,,,32,12
,,,,,,,,,44,19,,,,,,,6,33,,,,,,,,,,,,
,,,,,,,,,12,25,,,,,,,33,8,,,,,,,source,target,,,source,target
,,,,,,,,,40,20,,,,,,,8,27,,,,,,Project,phoenix,uucp,,Project,poi,phoenix
,,,,,,,,,,,,,,,,,,,,,,,,PVC_id,33,24,,PVC_id,22,13
,,,,,,,,,source,target,,,,,,,,,,,,,,,19,46,,,8,22
,,,,,,,,Project,spell,poi,,,,,,,,,,,,,,,18,19,,,5,37
,,,,,,,,PVC_id,9,20,,,,,,,,,,,,,,,32,25,,,23,43
,,,,,,,,,12,35,,,,,,,,,,,,,,,27,13,,,4,29
,,,,,,,,,44,29,,,,,,,,,,,,,,,23,7,,,32,7
,,,,,,,,,40,22,,,,,,,,,,,,,,,,,,,3,3
,,,,,,,,,26,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,34,,,,,,,,,,,,,,,,,,,,
