total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
50,41,3,86,54,140,0.53,0.32,3.12,1.65,0.09,0,0,2,0,50,1,0,0,FALSE
50,41,3,86,54,140,0.53,0.32,3.12,1.65,0.09,0,0,2,0,50,1,0,0,FALSE
50,41,3,86,54,140,0.53,0.32,3.12,1.65,0.09,0,0,2,0,50,1,0,0,FALSE
50,41,3,86,54,140,0.53,0.32,3.12,1.65,0.09,0,0,2,0,50,1,0,0,FALSE
43,27,3,66,42,108,0.4,0.27,3.7,1.48,0.08,0,0,2,0,43,1,0,0,FALSE
43,27,3,66,42,108,0.4,0.27,3.7,1.48,0.08,0,0,2,0,43,1,0,0,FALSE
422,183,22,343,486,829,0.12,0.05,20,2.4,0.13,136,25,4,57,2.97,142,2.28,8,FALSE
437,154,23,327,403,730,0.09,0.04,25,2.25,0.12,137,25,4,57,3.06,143,2.28,8,FALSE
313,301,3,887,543,1430,0.57,0.23,4.35,2.48,0.14,0,0,149,0,313,1,0,0,TRUE
313,301,3,887,543,1430,0.57,0.23,4.35,2.48,0.14,0,0,149,0,313,1,0,0,TRUE
313,301,3,887,543,1430,0.57,0.23,4.35,2.48,0.14,0,0,149,0,313,1,0,0,TRUE
313,301,3,887,543,1430,0.57,0.23,4.35,2.48,0.14,0,0,149,0,313,1,0,0,TRUE
63,12,9,25,27,52,0.15,0.11,9.09,1.36,0.08,6,2,1,3,9,7,1.5,1,FALSE
72,13,9,30,30,60,0.13,0.1,10,1.3,0.07,7,3,2,4,9,8,1.33,1,TRUE
10,4,4,5,4,9,0.36,0.4,2.5,0.9,0.05,1,1,1,2,5,2,2,2,FALSE
8,2,4,4,5,9,0.19,0.25,4,0.76,0.04,1,1,0,2,4,2,2,2,FALSE
10,5,2,5,4,9,0.85,1,1,0.85,0.05,2,2,0,2,3.33,3,1,0,FALSE
18,13,2,20,12,32,0.76,0.65,1.54,1.17,0.07,0,0,0,0,1,1,0,2,FALSE
13,11,12,17,16,33,0.15,0.11,9.09,1.36,0.08,2,2,0,6,3.25,4,3,1,TRUE
1,1,1,2,1,3,0.3,1,1,0.3,0.02,0,0,0,0,1,1,0,0,FALSE
10,9,3,11,6,17,0.59,0.55,1.82,1.07,0.06,0,0,1,0,10,1,0,0,TRUE
9,10,1,14,5,19,1.49,1.43,0.7,1.04,0.06,0,0,0,0,9,1,0,5,TRUE
9,10,1,13,5,18,1.6,1.54,0.65,1.04,0.06,0,0,0,0,9,1,0,5,TRUE
8,4,1,4,3,7,1.4,2,0.5,0.7,0.04,0,0,0,0,8,1,0,3,TRUE
8,4,1,4,3,7,1.4,2,0.5,0.7,0.04,0,0,0,0,8,1,0,3,TRUE
8,4,1,4,3,7,1.4,2,0.5,0.7,0.04,0,0,0,0,8,1,0,3,TRUE
8,4,1,4,3,7,1.4,2,0.5,0.7,0.04,0,0,0,0,8,1,0,3,TRUE
8,4,1,4,3,7,1.4,2,0.5,0.7,0.04,0,0,0,0,8,1,0,3,TRUE
8,4,1,4,3,7,1.4,2,0.5,0.7,0.04,0,0,0,0,8,1,0,3,TRUE
8,5,7,7,8,15,0.22,0.2,5,1.1,0.06,1,1,1,4,2.67,3,4,1,TRUE
47,25,11,45,37,82,0.16,0.1,10,1.6,0.09,3,3,7,6,0,4,2,1,TRUE
47,25,11,45,37,82,0.16,0.1,10,1.6,0.09,3,3,7,6,0,4,2,1,TRUE
23,16,9,28,24,52,0.18,0.13,7.69,1.38,0.08,2,1,1,2,7.67,3,2,0,FALSE
4,6,2,6,5,11,0.9,1,1,0.9,0.05,0,0,0,0,4,1,0,0,FALSE
194,243,3,661,356,1017,0.6,0.25,4,2.4,0.13,0,0,118,0,194,1,0,0,TRUE
206,297,3,781,437,1218,0.62,0.25,4,2.48,0.14,0,0,145,0,206,1,0,0,TRUE
206,297,3,781,437,1218,0.62,0.25,4,2.48,0.14,0,0,145,0,206,1,0,0,TRUE
206,297,3,781,437,1218,0.62,0.25,4,2.48,0.14,0,0,145,0,206,1,0,0,TRUE
206,297,3,781,437,1218,0.62,0.25,4,2.48,0.14,0,0,145,0,206,1,0,0,TRUE
24,29,3,63,35,98,0.47,0.31,3.23,1.52,0.08,0,0,11,0,24,1,0,0,TRUE
37,43,3,104,56,160,0.47,0.28,3.57,1.68,0.09,0,0,18,0,37,1,0,0,TRUE
169,171,3,492,248,740,0.52,0.23,4.35,2.26,0.13,0,0,82,0,169,1,0,0,TRUE
169,171,3,492,248,740,0.52,0.23,4.35,2.26,0.13,0,0,82,0,169,1,0,0,TRUE
169,171,3,492,248,740,0.52,0.23,4.35,2.26,0.13,0,0,82,0,169,1,0,0,TRUE
169,171,3,492,248,740,0.52,0.23,4.35,2.26,0.13,0,0,82,0,169,1,0,0,TRUE
169,171,3,492,248,740,0.52,0.23,4.35,2.26,0.13,0,0,82,0,169,1,0,0,TRUE
169,171,3,492,248,740,0.52,0.23,4.35,2.26,0.13,0,0,82,0,169,1,0,0,TRUE
62,60,3,165,83,248,0.43,0.24,4.17,1.79,0.1,0,0,27,0,62,1,0,0,TRUE
62,60,3,165,83,248,0.43,0.24,4.17,1.79,0.1,0,0,27,0,62,1,0,0,TRUE
62,60,3,165,83,248,0.43,0.24,4.17,1.79,0.1,0,0,27,0,62,1,0,0,TRUE
62,60,3,165,83,248,0.43,0.24,4.17,1.79,0.1,0,0,27,0,62,1,0,0,TRUE
126,124,3,357,179,536,0.48,0.23,4.35,2.09,0.12,0,0,59,0,126,1,0,0,TRUE
126,124,3,357,179,536,0.48,0.23,4.35,2.09,0.12,0,0,59,0,126,1,0,0,TRUE
195,219,3,614,320,934,0.56,0.24,4.17,2.34,0.13,0,0,106,0,195,1,0,0,TRUE
195,219,3,614,320,934,0.56,0.24,4.17,2.34,0.13,0,0,106,0,195,1,0,0,TRUE
195,219,3,614,320,934,0.56,0.24,4.17,2.34,0.13,0,0,106,0,195,1,0,0,FALSE
195,219,3,614,320,934,0.56,0.24,4.17,2.34,0.13,0,0,106,0,195,1,0,0,TRUE
553,157,20,254,375,629,0.13,0.06,16.67,2.17,0.12,127,9,2,27,4.16,133,3,3,TRUE
45,19,11,65,38,103,0.07,0.05,20,1.4,0.08,9,1,0,0,4.5,10,0,4,FALSE
27,13,14,22,27,49,0.11,0.08,12.5,1.38,0.08,5,3,1,7,3.86,7,2.33,1,TRUE
27,13,14,22,27,49,0.11,0.08,12.5,1.38,0.08,5,3,1,7,3.86,7,2.33,1,TRUE
13,7,9,9,10,19,0.2,0.17,5.88,1.18,0.07,2,2,1,3,4.33,3,1.5,1,FALSE
3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,FALSE
3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,FALSE
8,4,5,5,6,11,0.31,0.32,3.12,0.97,0.05,1,0,1,0,4,2,0,1,FALSE
8,4,5,5,6,11,0.31,0.32,3.12,0.97,0.05,1,0,1,0,4,2,0,1,FALSE
8,4,5,5,6,11,0.31,0.32,3.12,0.97,0.05,1,0,1,0,4,2,0,1,FALSE
1,3,0,4,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,FALSE
1,3,0,4,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,FALSE
14,6,8,10,10,20,0.17,0.15,6.67,1.13,0.06,2,2,1,5,4.67,3,2.5,1,TRUE
1,4,4,4,5,9,0.45,0.5,2,0.9,0.05,0,0,1,0,1,1,0,1,TRUE
7,8,6,10,10,20,0.31,0.27,3.7,1.15,0.06,0,0,0,0,7,1,0,1,FALSE
5,1,5,1,5,6,0.31,0.4,2.5,0.78,0.04,0,0,0,0,5,1,0,0,TRUE
46,32,11,73,64,137,0.13,0.08,12.5,1.62,0.09,5,5,1,16,0.11,9,3.2,1,FALSE
14,5,6,9,9,18,0.2,0.19,5.26,1.05,0.06,2,2,0,5,3.5,4,2.5,1,FALSE
14,5,6,9,9,18,0.2,0.19,5.26,1.05,0.06,2,2,0,5,3.5,4,2.5,1,FALSE
116,55,13,132,105,237,0.11,0.06,16.67,1.83,0.1,18,18,10,32,0.05,21,1.78,1,FALSE
116,55,13,132,105,237,0.11,0.06,16.67,1.83,0.1,18,18,10,32,0.05,21,1.78,1,FALSE
116,55,13,132,105,237,0.11,0.06,16.67,1.83,0.1,18,18,10,32,0.05,21,1.78,1,FALSE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,FALSE
47,25,19,48,61,109,0.08,0.05,20,1.6,0.09,9,9,1,27,2.94,16,3,3,TRUE
4,3,3,3,3,6,0.52,0.67,1.49,0.77,0.04,0,0,1,1,4,1,0,1,FALSE
66,29,19,73,60,133,0.07,0.04,25,1.75,0.1,9,9,1,22,5.5,12,2.44,5,TRUE
48,22,18,60,50,110,0.06,0.04,25,1.5,0.08,7,7,1,18,4.8,10,2.57,3,TRUE
15,7,4,11,7,18,0.33,0.32,3.12,1.03,0.06,1,0,2,0,7.5,2,0,0,FALSE
15,11,7,21,12,33,0.19,0.15,6.67,1.27,0.07,2,2,2,5,3.75,4,2.5,2,TRUE
15,11,7,21,12,33,0.19,0.15,6.67,1.27,0.07,2,2,2,5,3.75,4,2.5,2,TRUE
55,22,13,38,45,83,0.14,0.09,11.11,1.56,0.09,4,2,9,3,11,5,1.5,2,FALSE
54,22,13,38,45,83,0.14,0.09,11.11,1.56,0.09,4,2,9,3,10.8,5,1.5,2,FALSE
9,4,8,4,9,13,0.27,0.25,4,1.08,0.06,2,2,1,4,2.25,4,2,1,TRUE
20,7,9,14,20,34,0.13,0.11,9.09,1.18,0.07,3,1,1,2,5,4,2,0,FALSE
9,4,5,6,8,14,0.26,0.27,3.7,0.96,0.05,1,1,0,2,4.5,2,2,0,TRUE
